hRate,dTime,landscape,patch,gen,count,harvest
0.5,6,10,6,0,0,0
0.75,6,9,1,0,20,0
0.75,6,9,2,0,0,0
0.75,6,9,3,0,0,0
0.75,6,9,4,0,0,0
0.75,6,9,5,0,0,0
0.75,6,9,6,0,0,0
0.75,6,10,1,0,20,0
0.75,6,10,2,0,0,0
0.75,6,10,3,0,0,0
0.75,6,10,4,0,0,0
0.75,6,10,5,0,0,0
0.75,6,10,6,0,0,0
0,24,9,1,0,20,0
0,24,9,2,0,0,0
0,24,9,3,0,0,0
0,24,9,4,0,0,0
0,24,9,5,0,0,0
0,24,9,6,0,0,0
0,24,10,1,0,20,0
0,24,10,2,0,0,0
0,24,10,3,0,0,0
0,24,10,4,0,0,0
0,24,10,5,0,0,0
0,24,10,6,0,0,0
0.25,24,9,1,0,20,0
0.25,24,9,2,0,0,0
0.25,24,9,3,0,0,0
0.25,24,9,4,0,0,0
0.25,24,9,5,0,0,0
0.25,24,9,6,0,0,0
0.25,24,10,1,0,20,0
0.25,24,10,2,0,0,0
0.25,24,10,3,0,0,0
0.25,24,10,4,0,0,0
0.25,24,10,5,0,0,0
0.25,24,10,6,0,0,0
0.5,24,9,1,0,20,0
0.5,24,9,2,0,0,0
0.5,24,9,3,0,0,0
0.5,24,9,4,0,0,0
0.5,24,9,5,0,0,0
0.5,24,9,6,0,0,0
0.5,24,10,1,0,20,0
0.5,24,10,2,0,0,0
0.5,24,10,3,0,0,0
0.5,24,10,4,0,0,0
0.5,24,10,5,0,0,0
0.5,24,10,6,0,0,0
0.75,24,9,1,0,20,0
0.75,24,9,2,0,0,0
0.75,24,9,3,0,0,0
0.75,24,9,4,0,0,0
0.75,24,9,5,0,0,0
0.75,24,9,6,0,0,0
0.75,24,10,1,0,20,0
0.75,24,10,2,0,0,0
0.75,24,10,3,0,0,0
0.75,24,10,4,0,0,0
0.75,24,10,5,0,0,0
0.75,24,10,6,0,0,0
0,1,1,1,1,40,0
0,1,1,2,1,0,0
0,1,1,3,1,0,0
0,1,1,4,1,0,0
0,1,1,5,1,0,0
0,1,1,6,1,0,0
0,1,2,1,1,59,0
0,1,2,2,1,0,0
0,1,2,3,1,0,0
0,1,2,4,1,0,0
0,1,2,5,1,0,0
0,1,2,6,1,0,0
0.25,1,1,1,1,49,13
0.25,1,1,2,1,0,0
0.25,1,1,3,1,0,0
0.25,1,1,4,1,0,0
0.25,1,1,5,1,0,0
0.25,1,1,6,1,0,0
0.25,1,2,1,1,82.0134793597304,21
0.25,1,2,2,1,3,0
0.25,1,2,3,1,0,0
0.25,1,2,4,1,0,0
0.25,1,2,5,1,0,0
0.25,1,2,6,1,0,0
0.5,1,1,1,1,33,17
0.5,1,1,2,1,0,0
0.5,1,1,3,1,0,0
0.5,1,1,4,1,0,0
0.5,1,1,5,1,0,0
0.5,1,1,6,1,0,0
0.5,1,2,1,1,69,35
0.5,1,2,2,1,2,1
0.5,1,2,3,1,0,0
0.5,1,2,4,1,0,0
0.5,1,2,5,1,0,0
0.5,1,2,6,1,0,0
0.75,1,1,1,1,87.2384937238494,66
0.75,1,1,2,1,0,0
0.75,1,1,3,1,0,0
0.75,1,1,4,1,0,0
0.75,1,1,5,1,0,0
0.75,1,1,6,1,0,0
0.75,1,2,1,1,65,49
0.75,1,2,2,1,0,0
0.75,1,2,3,1,0,0
0.75,1,2,4,1,0,0
0.75,1,2,5,1,0,0
0.75,1,2,6,1,0,0
0,6,1,1,1,81.1955661124307,0
0,6,1,2,1,0,0
0,6,1,3,1,0,0
0,6,1,4,1,0,0
0,6,1,5,1,0,0
0,6,1,6,1,0,0
0,6,2,1,1,57,0
0,6,2,2,1,2,0
0,6,2,3,1,0,0
0,6,2,4,1,0,0
0,6,2,5,1,0,0
0,6,2,6,1,0,0
0.25,6,1,1,1,55,14
0.25,6,1,2,1,2,1
0.25,6,1,3,1,0,0
0.25,6,1,4,1,0,0
0.25,6,1,5,1,0,0
0.25,6,1,6,1,0,0
0.25,6,2,1,1,78.7519142419602,20
0.25,6,2,2,1,3,1
0.25,6,2,3,1,0,0
0.25,6,2,4,1,0,0
0.25,6,2,5,1,0,0
0.25,6,2,6,1,0,0
0.5,6,1,1,1,66,33
0.5,6,1,2,1,4,2
0.5,6,1,3,1,0,0
0.5,6,1,4,1,0,0
