time_point,date_time,temp_F,RH
325,6/3/18 19:33,88.455,55.961
326,6/3/18 19:48,88.502,55.965
327,6/3/18 20:03,88.455,55.961
328,6/3/18 20:18,88.502,56.061
329,6/3/18 20:33,88.455,56.121
330,6/3/18 20:48,88.455,56.089
331,6/3/18 21:03,88.455,56.216
332,6/3/18 21:18,88.455,55.993
333,6/3/18 21:33,88.455,56.28
334,6/3/18 21:48,88.455,56.375
335,6/3/18 22:03,88.455,56.598
336,6/3/18 22:18,88.41,56.276
337,6/3/18 22:33,88.455,56.248
338,6/3/18 22:48,88.41,56.308
339,6/3/18 23:03,88.41,56.499
340,6/3/18 23:18,88.455,56.439
341,6/3/18 23:33,88.455,55.643
342,6/3/18 23:48,88.455,55.579
343,6/4/18 0:03,88.41,55.224
344,6/4/18 0:18,88.41,55.384
345,6/4/18 0:33,88.41,55.607
346,6/4/18 0:48,88.41,55.83
347,6/4/18 1:03,88.41,55.639
348,6/4/18 1:18,88.41,55.798
349,6/4/18 1:33,88.41,55.83
350,6/4/18 1:48,88.41,55.99
351,6/4/18 2:03,88.41,56.085
352,6/4/18 2:18,88.41,56.117
353,6/4/18 2:33,88.41,55.798
354,6/4/18 2:48,88.41,55.926
355,6/4/18 3:03,88.41,55.798
356,6/4/18 3:18,88.41,56.276
357,6/4/18 3:33,88.41,55.958
358,6/4/18 3:48,88.41,55.639
359,6/4/18 4:03,88.41,55.703
360,6/4/18 4:18,88.41,55.99
361,6/4/18 4:33,88.41,55.958
362,6/4/18 4:48,88.41,56.053
363,6/4/18 5:03,88.41,55.607
364,6/4/18 5:18,88.41,55.926
365,6/4/18 5:33,88.41,55.926
366,6/4/18 5:48,88.41,56.021
367,6/4/18 6:03,88.41,56.085
368,6/4/18 6:18,88.41,55.862
369,6/4/18 6:33,88.41,55.894
370,6/4/18 6:48,88.41,56.181
371,6/4/18 7:03,88.41,56.499
372,6/4/18 7:18,88.363,56.463
373,6/4/18 7:33,88.41,56.531
374,6/4/18 7:48,88.41,56.34
375,6/4/18 8:03,88.41,56.149
376,6/4/18 8:18,88.41,56.403
377,6/4/18 8:33,88.41,56.276
378,6/4/18 8:48,88.41,56.085
379,6/4/18 9:03,88.41,56.181
380,6/4/18 9:18,88.41,56.244
381,6/4/18 9:33,88.41,56.403
382,6/4/18 9:48,88.455,56.439
383,6/4/18 10:03,88.455,56.502
384,6/4/18 10:18,88.502,56.506
385,6/4/18 10:33,88.502,56.506
386,6/4/18 10:48,88.547,56.669
387,6/4/18 11:03,88.594,56.354
388,6/4/18 11:18,88.594,56.195
389,6/4/18 11:33,88.639,55.976
390,6/4/18 11:48,88.639,56.04
391,6/4/18 12:03,88.639,56.358
392,6/4/18 12:18,88.639,56.549
393,6/4/18 12:33,85.5,34.295
394,6/4/18 12:48,85.093,51.158
395,6/4/18 13:03,87.951,39.973
396,6/4/18 13:18,88.547,36.954
397,6/4/18 13:33,88.731,36.492
398,6/4/18 13:48,87.586,34.74
399,6/4/18 14:03,88.869,35.213
400,6/4/18 14:18,88.869,32.697
401,6/4/18 14:33,88.822,32.456
402,6/4/18 14:48,88.777,32.897
403,6/4/18 15:03,88.777,34.462
404,6/4/18 15:18,88.822,36.159
405,6/4/18 15:33,88.777,35.378
406,6/4/18 15:48,88.822,34.091
407,6/4/18 16:03,88.777,34.971
408,6/4/18 16:18,88.822,34.94
409,6/4/18 16:33,88.822,35.414
410,6/4/18 16:48,88.822,34.023
411,6/4/18 17:03,88.822,34.567
412,6/4/18 17:18,88.822,37.07
413,6/4/18 17:33,88.822,37.104
414,6/4/18 17:48,88.822,37.777
415,6/4/18 18:03,88.777,39.118
416,6/4/18 18:18,88.777,39.453
417,6/4/18 18:33,88.777,41.09
418,6/4/18 18:48,88.135,36.021
419,6/4/18 19:03,88.822,36.665
420,6/4/18 19:18,88.777,37.101
421,6/4/18 19:33,88.822,40.191
422,6/4/18 19:48,88.869,43.189
423,6/4/18 20:03,88.822,44.211
424,6/4/18 20:18,88.869,45.006
425,6/4/18 20:33,88.869,46.584
426,6/4/18 20:48,88.869,47.403
427,6/4/18 21:03,88.869,47.305
428,6/4/18 21:18,88.914,48.224
429,6/4/18 21:33,88.961,48.488
430,6/4/18 21:48,88.961,49.237
431,6/4/18 22:03,88.961,48.586
432,6/4/18 22:18,88.961,48.52
433,6/4/18 22:33,88.961,48.488
434,6/4/18 22:48,88.914,48.06
435,6/4/18 23:03,88.914,48.354
436,6/4/18 23:18,88.869,48.612
